pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
24,Quebec,Québec,2020-04-28,,25757,0,1682,25757,204472,5841,22.68,24098,775,3.10,303.56,19.82,83,6.53,4300,324,70.79,18234,214.90,11509,135.64,1247,14.70,5631,66.36,641,7.55,804,9.48,92,1.08
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-04-28,,258,0,3,258,7905,222,86.05,15157,0,0.00,49.47,0.58,0,1.16,264,1,12.79,33,6.33,14,2.68,0,0.00,1,0.19,0,0.00,0,0.03,0,0.00
13,New Brunswick,Nouveau-Brunswick,2020-04-28,,118,0,0,118,12907,114,96.61,16615,0,0.00,15.19,0.00,0,0.00,259,2,3.39,4,0.51,2,0.26,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-04-28,,915,0,27,915,28108,522,57.05,28936,15,1.67,94.19,2.78,3,2.95,671,13,40.00,366,37.68,398,40.97,24,2.47,178,18.32,17,1.75,25,2.62,2,0.25
11,Prince Edward Island,Île-du-Prince-Édouard,2020-04-28,,27,0,0,27,2726,24,88.89,17369,1,3.85,17.20,0.00,0,0.00,0,0,11.11,3,1.91,2,1.27,0,0.00,1,0.64,0,0.00,0,0.09,0,0.00
60,Yukon,Yukon,2020-04-28,,11,0,0,11,953,8,72.73,23327,0,0.00,26.93,0.00,0,0.00,34,0,27.27,3,7.34,3,7.34,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-04-28,,5,0,0,5,1585,5,100.00,35359,0,0.00,11.15,0.00,0,0.00,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
62,Nunavut,Nunavut,2020-04-28,,0,0,0,0,377,0,N/A,9722,0,0.00,0.00,0.00,0,,8,0,,,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-04-28,,13,0,,13,76,,,,0,0.00,,,,,0,,,,,0,,0,,0,,0,,0,,0,
1,Canada,Canada,2020-04-28,,50015,11,2859,50026,754800,19231,38.44,20080,1526,3.15,133.09,7.61,152,5.72,21095,963,55.84,27936,74.32,22963,61.09,1956,5.20,11604,30.87,1025,2.73,1658,4.41,146,0.39
