pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
35,Ontario,Ontario,2020-05-01,,16608,0,1121,16608,284438,10825,65.18,19527,421,2.60,114.01,7.70,39,6.75,15991,620,28.07,4662,32.00,7083,48.63,643,4.41,3089,21.21,358,2.46,441,3.03,51,0.35
24,Quebec,Québec,2020-05-01,,28648,0,2022,28648,219367,6700,23.39,25854,1110,4.03,337.63,23.83,163,7.06,5320,401,69.55,19926,234.84,11850,139.66,1334,15.72,6032,71.09,682,8.04,862,10.16,97,1.15
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-05-01,,259,0,3,259,8545,230,88.80,16384,1,0.39,49.66,0.58,0,1.16,169,5,10.04,26,4.99,3,0.58,0,0.00,3,0.58,0,0.00,0,0.08,0,0.00
13,New Brunswick,Nouveau-Brunswick,2020-05-01,,118,0,0,118,13998,116,98.31,18019,0,0.00,15.19,0.00,0,0.00,400,2,1.69,2,0.26,1,0.13,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-05-01,,959,0,29,959,30149,592,61.73,31037,12,1.27,98.72,2.99,1,3.02,728,47,35.25,338,34.80,353,36.34,25,2.57,109,11.22,13,1.34,16,1.60,2,0.19
11,Prince Edward Island,Île-du-Prince-Édouard,2020-05-01,,27,0,0,27,3019,24,88.89,19236,0,0.00,17.20,0.00,0,0.00,97,0,11.11,3,1.91,1,0.64,0,0.00,1,0.64,0,0.00,0,0.09,0,0.00
60,Yukon,Yukon,2020-05-01,,11,0,0,11,999,11,100.00,24453,0,0.00,26.93,0.00,0,0.00,15,2,0.00,0,0.00,2,4.90,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-05-01,,5,0,0,5,1629,5,100.00,36341,0,0.00,11.15,0.00,0,0.00,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
62,Nunavut,Nunavut,2020-05-01,,0,0,0,0,421,0,N/A,10856,0,0.00,0.00,0.00,0,,25,0,,,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-05-01,,13,0,,13,76,,,,0,0.00,,,,,0,,,,,0,,0,,0,,0,,0,,0,
1,Canada,Canada,2020-05-01,,55050,11,3391,55061,836921,22751,41.32,22265,1825,3.43,146.48,9.02,207,6.16,30472,1327,52.52,28919,76.93,23177,61.66,2082,5.54,11173,29.72,1089,2.90,1596,4.25,156,0.41
59,British Columbia,Colombie-Britannique,2020-05-02,,2171,0,114,2171,77904,1376,63.38,15362,26,1.21,42.81,2.25,2,5.25,2360,19,31.37,681,13.43,553,10.90,36,0.71,223,4.40,14,0.28,32,0.63,2,0.04
48,Alberta,Alberta,2020-05-02,,5670,0,94,5670,148757,2534,44.69,34030,97,1.74,129.71,2.15,2,1.66,3337,175,53.65,3042,69.59,3108,71.10,43,0.98,1437,32.87,21,0.48,205,4.70,3,0.07
47,Saskatchewan,Saskatchewan,2020-05-02,,421,0,6,421,28847,302,71.73,24562,6,1.45,35.85,0.51,0,1.43,430,5,26.84,113,9.62,108,9.20,2,0.17,72,6.13,2,0.17,10,0.88,0,0.02
46,Manitoba,Manitoba,2020-05-02,,269,11,6,280,25736,236,84.29,18793,1,0.36,20.45,0.44,0,2.14,761,1,13.57,38,2.77,27,1.97,1,0.07,13,0.95,0,0.00,2,0.14,0,0.00
35,Ontario,Ontario,2020-05-02,,17119,0,1176,17119,300210,11390,66.53,20610,511,3.08,117.52,8.07,55,6.87,15772,565,26.60,4553,31.26,7109,48.80,662,4.54,3124,21.45,365,2.51,446,3.06,52,0.36
24,Quebec,Québec,2020-05-02,,29656,0,2136,29656,224831,6965,23.49,26498,1008,3.52,349.51,25.17,114,7.20,5464,265,69.31,20555,242.25,12135,143.02,1331,15.69,6389,75.30,690,8.13,913,10.76,99,1.16
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-05-02,,259,0,3,259,8716,231,89.19,16712,0,0.00,49.66,0.58,0,1.16,171,1,9.65,25,4.79,2,0.38,0,0.00,2,0.38,0,0.00,0,0.05,0,0.00
13,New Brunswick,Nouveau-Brunswick,2020-05-02,,118,0,0,118,14252,118,100.00,18346,0,0.00,15.19,0.00,0,0.00,254,2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-05-02,,963,0,31,963,30774,609,63.24,31680,4,0.42,99.14,3.19,2,3.22,625,17,33.54,323,33.25,314,32.32,24,2.47,98,10.09,9,0.93,14,1.44,1,0.13
11,Prince Edward Island,Île-du-Prince-Édouard,2020-05-02,,27,0,0,27,3086,24,88.89,19663,0,0.00,17.20,0.00,0,0.00,67,0,11.11,3,1.91,1,0.64,0,0.00,1,0.64,0,0.00,0,0.09,0,0.00
60,Yukon,Yukon,2020-05-02,,11,0,0,11,1019,11,100.00,24942,0,0.00,26.93,0.00,0,0.00,20,0,0.00,0,0.00,2,4.90,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-05-02,,5,0,0,5,1682,5,100.00,37523,0,0.00,11.15,0.00,0,0.00,53,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
62,Nunavut,Nunavut,2020-05-02,,0,0,0,0,421,0,N/A,10856,0,0.00,0.00,0.00,0,,0,0,,,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-05-02,,13,0,,13,76,13,100.00,,0,0.00,,,,,0,13,,,,0,,0,,0,,0,,0,,0,
1,Canada,Canada,2020-05-02,,56703,11,3566,56714,866235,23801,41.97,23045,1653,3.00,150.88,9.49,175,6.29,29314,1050,51.75,29347,78.07,23360,62.15,2099,5.58,11360,30.22,1101,2.93,1623,4.32,157,0.42
59,British Columbia,Colombie-Britannique,2020-05-03,,2171,0,114,2171,81061,1376,63.38,15984,0,0.00,42.81,2.25,0,5.25,3157,0,31.37,681,13.43,553,10.90,36,0.71,223,4.40,14,0.28,32,0.63,2,0.04
48,Alberta,Alberta,2020-05-03,,5766,0,95,5766,152123,2713,47.05,34800,96,1.69,131.91,2.17,1,1.65,3366,179,51.30,2958,67.67,3204,73.30,44,1.01,1286,29.42,22,0.50,184,4.20,3,0.07
47,Saskatchewan,Saskatchewan,2020-05-03,,433,0,6,433,29498,305,70.44,25116,12,2.85,36.87,0.51,0,1.39,651,3,28.18,122,10.39,118,10.05,2,0.17,80,6.81,2,0.17,11,0.97,0,0.02
46,Manitoba,Manitoba,2020-05-03,,270,11,6,281,26253,237,84.34,19170,1,0.36,20.52,0.44,0,2.14,517,1,13.52,38,2.77,28,2.04,1,0.07,10,0.73,0,0.00,1,0.10,0,0.00
35,Ontario,Ontario,2020-05-03,,17553,0,1216,17553,316796,12005,68.39,21748,434,2.54,120.50,8.35,40,6.93,16586,615,24.68,4332,29.74,6975,47.88,663,4.55,3121,21.43,381,2.62,446,3.06,54,0.37
24,Quebec,Québec,2020-05-03,,31865,0,2205,31865,230864,7258,22.78,27209,2209,7.45,375.55,25.99,69,6.92,6033,293,70.30,22402,264.02,13508,159.20,1328,15.65,7758,91.43,690,8.13,1108,13.06,99,1.16
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-05-03,,259,0,3,259,8819,232,89.58,16909,0,0.00,49.66,0.58,0,1.16,103,1,9.27,24,4.60,2,0.38,0,0.00,1,0.19,0,0.00,0,0.03,0,0.00
13,New Brunswick,Nouveau-Brunswick,2020-05-03,,118,0,0,118,14559,118,100.00,18742,0,0.00,15.19,0.00,0,0.00,307,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-05-03,,971,0,37,971,31192,624,64.26,32111,8,0.83,99.96,3.81,6,3.81,418,15,31.93,310,31.91,296,30.47,28,2.88,98,10.09,13,1.34,14,1.44,2,0.19
11,Prince Edward Island,Île-du-Prince-Édouard,2020-05-03,,27,0,0,27,3138,24,88.89,19994,0,0.00,17.20,0.00,0,0.00,52,0,11.11,3,1.91,1,0.64,0,0.00,1,0.64,0,0.00,0,0.09,0,0.00
60,Yukon,Yukon,2020-05-03,,11,0,0,11,1023,11,100.00,25040,0,0.00,26.93,0.00,0,0.00,4,0,0.00,0,0.00,2,4.90,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-05-03,,5,0,0,5,1697,5,100.00,37857,0,0.00,11.15,0.00,0,0.00,15,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
62,Nunavut,Nunavut,2020-05-03,,0,0,0,0,421,0,N/A,10856,0,0.00,0.00,0.00,0,,0,0,,,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-05-03,,13,0,0,13,76,13,100.00,,0,0.00,,,0,0.00,0,0,0.00,0,,0,,0,,0,,0,,0,,0,
1,Canada,Canada,2020-05-03,,59463,11,3682,59474,897444,24908,41.88,23875,2760,4.87,158.22,9.80,116,6.19,31209,1107,51.93,30884,82.16,24688,65.68,2102,5.59,12579,33.46,1122,2.98,1797,4.78,160,0.43
59,British Columbia,Colombie-Britannique,2020-05-04,,2224,0,117,2224,82862,1417,63.71,16339,53,2.44,43.85,2.31,3,5.26,1801,41,31.03,690,13.61,525,10.35,31,0.61,226,4.46,14,0.28,32,0.64,2,0.04
48,Alberta,Alberta,2020-05-04,,5836,0,104,5836,152123,2942,50.41,34800,70,1.21,133.51,2.38,9,1.78,0,229,47.81,2790,63.83,2928,66.98,45,1.03,1140,26.08,29,0.66,163,3.73,4,0.09
47,Saskatchewan,Saskatchewan,2020-05-04,,467,0,6,467,30171,307,65.74,25689,34,7.85,39.76,0.51,0,1.28,673,2,32.98,154,13.11,151,12.86,2,0.17,102,8.68,1,0.09,15,1.24,0,0.01
46,Manitoba,Manitoba,2020-05-04,,270,11,6,281,26857,238,84.70,19611,0,0.00,20.52,0.44,0,2.14,604,1,13.17,37,2.70,27,1.97,0,0.00,9,0.66,0,0.00,1,0.09,0,0.00
35,Ontario,Ontario,2020-05-04,,17923,0,1300,17923,330875,12505,69.77,22715,370,2.11,123.04,8.92,84,7.25,14079,500,22.98,4118,28.27,6739,46.26,716,4.92,3067,21.06,408,2.80,438,3.01,58,0.40
24,Quebec,Québec,2020-05-04,,32623,0,2280,32623,235136,7578,23.23,27712,758,2.38,384.48,26.87,75,6.99,4272,320,69.78,22765,268.30,13304,156.79,1341,15.80,7641,90.05,681,8.03,1092,12.86,97,1.15
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-05-04,,259,0,3,259,8935,233,89.96,17132,0,0.00,49.66,0.58,0,1.16,116,1,8.88,23,4.41,2,0.38,0,0.00,1,0.19,0,0.00,0,0.03,0,0.00
13,New Brunswick,Nouveau-Brunswick,2020-05-04,,118,0,0,118,14559,118,100.00,18742,0,0.00,15.19,0.00,0,0.00,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-05-04,,985,0,38,985,31571,638,64.77,32501,14,1.44,101.40,3.91,1,3.86,379,14,31.37,309,31.81,264,27.18,29,2.99,85,8.75,14,1.44,12,1.25,2,0.21
11,Prince Edward Island,Île-du-Prince-Édouard,2020-05-04,,27,0,0,27,3138,25,92.59,19994,0,0.00,17.20,0.00,0,0.00,0,1,7.41,2,1.27,1,0.64,0,0.00,1,0.64,0,0.00,0,0.09,0,0.00
60,Yukon,Yukon,2020-05-04,,11,0,0,11,1023,11,100.00,25040,0,0.00,26.93,0.00,0,0.00,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-05-04,,5,0,0,5,1697,5,100.00,37857,0,0.00,11.15,0.00,0,0.00,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
62,Nunavut,Nunavut,2020-05-04,,0,0,0,0,421,0,N/A,10856,0,0.00,0.00,0.00,0,,0,0,,,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-05-04,,13,0,,13,76,,,,0,0.00,,,,,0,,,,,0,,0,,0,,0,,0,,0,
1,Canada,Canada,2020-05-04,,60761,11,3854,60772,919368,26017,42.81,24458,1298,2.18,161.67,10.25,172,6.34,21924,1109,50.85,30901,82.21,23941,63.69,2164,5.76,12272,32.65,1147,3.05,1753,4.66,164,0.44
59,British Columbia,Colombie-Britannique,2020-05-05,,2232,0,121,2232,84288,1472,65.95,16620,8,0.36,44.01,2.39,4,5.42,1426,55,28.63,639,12.60,508,10.02,34,0.67,179,3.53,16,0.32,26,0.50,2,0.05
48,Alberta,Alberta,2020-05-05,,5893,0,106,5893,157137,3219,54.62,35947,57,0.98,134.81,2.42,2,1.80,5014,277,43.58,2568,58.75,2798,64.01,45,1.03,1043,23.86,26,0.59,149,3.41,4,0.08
47,Saskatchewan,Saskatchewan,2020-05-05,,487,0,6,487,30664,310,63.66,26109,20,4.28,41.47,0.51,0,1.23,493,3,35.11,171,14.56,167,14.22,2,0.17,121,10.30,1,0.09,17,1.47,0,0.01
46,Manitoba,Manitoba,2020-05-05,,271,11,7,282,27202,238,84.40,19863,1,0.36,20.59,0.51,1,2.48,345,0,13.12,37,2.70,27,1.97,1,0.07,10,0.73,1,0.07,1,0.10,0,0.01
35,Ontario,Ontario,2020-05-05,,18310,0,1361,18310,341180,12779,69.79,23422,387,2.16,125.70,9.34,61,7.43,10305,274,22.77,4170,28.63,6575,45.14,739,5.07,2929,20.11,410,2.81,418,2.87,59,0.40
24,Quebec,Québec,2020-05-05,,33417,0,2398,33417,239241,7923,23.71,28196,794,2.43,393.84,28.26,118,7.18,4105,345,69.11,23096,272.20,13291,156.64,1357,15.99,7660,90.28,716,8.44,1094,12.90,102,1.21
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-05-05,,259,0,3,259,9127,241,93.05,17500,0,0.00,49.66,0.58,0,1.16,192,8,5.79,15,2.88,2,0.38,0,0.00,1,0.19,0,0.00,0,0.03,0,0.00
13,New Brunswick,Nouveau-Brunswick,2020-05-05,,119,0,0,119,14982,118,99.16,19286,1,0.85,15.32,0.00,0,0.00,423,0,0.84,1,0.13,1,0.13,0,0.00,1,0.13,0,0.00,0,0.02,0,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-05-05,,991,0,41,991,32146,652,65.79,33093,6,0.61,102.02,4.22,3,4.14,575,14,30.07,298,30.68,254,26.15,31,3.19,76,7.82,14,1.44,11,1.12,2,0.21
11,Prince Edward Island,Île-du-Prince-Édouard,2020-05-05,,27,0,0,27,3341,25,92.59,21287,0,0.00,17.20,0.00,0,0.00,203,0,7.41,2,1.27,1,0.64,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
60,Yukon,Yukon,2020-05-05,,11,0,0,11,1028,11,100.00,25163,0,0.00,26.93,0.00,0,0.00,5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-05-05,,5,0,0,5,1698,5,100.00,37880,0,0.00,11.15,0.00,0,0.00,1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
62,Nunavut,Nunavut,2020-05-05,,0,0,0,0,492,0,N/A,12687,0,0.00,0.00,0.00,0,,71,0,,,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-05-05,,13,0,,13,76,,,,0,0.00,,,,,0,,,,,0,,0,,0,,0,,0,,0,
1,Canada,Canada,2020-05-05,,62035,11,4043,62046,942602,26993,43.50,25076,1274,2.10,165.06,10.76,189,6.52,23234,976,49.98,31010,82.50,23624,62.85,2209,5.88,12020,31.98,1184,3.15,1717,4.57,169,0.45
59,British Columbia,Colombie-Britannique,2020-05-06,,2255,0,124,2255,85812,1494,66.25,16921,23,1.03,44.47,2.45,3,5.50,1524,22,28.25,637,12.56,460,9.07,34,0.67,168,3.31,15,0.30,24,0.47,2,0.04
48,Alberta,Alberta,2020-05-06,,5963,0,112,5963,160185,3552,59.57,36645,70,1.19,136.41,2.56,6,1.88,3048,333,38.55,2299,52.59,2562,58.61,46,1.05,798,18.26,25,0.57,114,2.61,4,0.08
47,Saskatchewan,Saskatchewan,2020-05-06,,512,0,6,512,31247,312,60.94,26605,25,5.13,43.59,0.51,0,1.17,583,2,37.89,194,16.52,186,15.84,2,0.17,129,10.98,0,0.00,18,1.57,0,0.00
46,Manitoba,Manitoba,2020-05-06,,273,11,7,284,27712,242,85.21,20236,2,0.71,20.74,0.51,0,2.46,510,4,12.32,35,2.56,27,1.97,1,0.07,11,0.80,1,0.07,2,0.11,0,0.01
35,Ontario,Ontario,2020-05-06,,18722,0,1429,18722,353717,13222,70.62,24283,412,2.25,128.53,9.81,68,7.63,12537,443,21.74,4071,27.95,6477,44.46,770,5.29,2994,20.55,433,2.97,428,2.94,62,0.42
24,Quebec,Québec,2020-05-06,,34327,0,2510,34327,250654,8284,24.13,29541,910,2.72,404.56,29.58,112,7.31,11413,361,68.56,23533,277.35,13362,157.48,1376,16.22,7733,91.14,749,8.83,1105,13.02,107,1.26
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-05-06,,259,0,3,259,9295,244,94.21,17822,0,0.00,49.66,0.58,0,1.16,168,3,4.63,12,2.30,3,0.58,0,0.00,1,0.19,0,0.00,0,0.03,0,0.00
13,New Brunswick,Nouveau-Brunswick,2020-05-06,,120,0,0,120,15324,118,98.33,19726,1,0.84,15.45,0.00,0,0.00,342,0,1.67,2,0.26,2,0.26,0,0.00,2,0.26,0,0.00,0,0.04,0,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-05-06,,998,0,41,998,32869,661,66.23,33837,7,0.71,102.74,4.22,0,4.11,723,9,29.66,296,30.47,226,23.27,29,2.99,63,6.49,13,1.34,9,0.93,2,0.19
11,Prince Edward Island,Île-du-Prince-Édouard,2020-05-06,,27,0,0,27,3454,26,96.30,22007,0,0.00,17.20,0.00,0,0.00,113,1,3.70,1,0.64,1,0.64,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
60,Yukon,Yukon,2020-05-06,,11,0,0,11,1041,11,100.00,25481,0,0.00,26.93,0.00,0,0.00,13,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-05-06,,5,0,0,5,1723,5,100.00,38438,0,0.00,11.15,0.00,0,0.00,25,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
62,Nunavut,Nunavut,2020-05-06,,0,0,0,0,525,0,N/A,13538,0,0.00,0.00,0.00,0,,33,0,,,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-05-06,,13,0,,13,76,,,,0,0.00,,,,,0,,,,,0,,0,,0,,0,,0,,0,
1,Canada,Canada,2020-05-06,,63485,11,4232,63496,973634,28171,44.37,25902,1450,2.34,168.92,11.26,189,6.66,31032,1178,48.97,31093,82.72,23306,62.00,2258,6.01,11899,31.66,1236,3.29,1700,4.52,177,0.47
59,British Columbia,Colombie-Britannique,2020-05-07,,2288,0,126,2288,87779,1512,66.08,17309,33,1.46,45.12,2.48,2,5.51,1967,18,28.41,650,12.82,464,9.15,32,0.63,176,3.47,15,0.30,25,0.50,2,0.04
48,Alberta,Alberta,2020-05-07,,6017,0,114,6017,163510,3809,63.30,37405,54,0.91,137.65,2.61,2,1.89,3325,257,34.80,2094,47.90,2297,52.55,47,1.08,662,15.14,25,0.57,95,2.16,4,0.08
47,Saskatchewan,Saskatchewan,2020-05-07,,531,0,6,531,31926,329,61.96,27184,19,3.71,45.21,0.51,0,1.13,679,17,36.91,196,16.69,200,17.03,2,0.17,142,12.09,0,0.00,20,1.73,0,0.00
46,Manitoba,Manitoba,2020-05-07,,272,11,7,283,28232,243,85.87,20615,-1,-0.35,20.67,0.51,0,2.47,520,1,11.66,33,2.41,21,1.53,1,0.07,8,0.58,1,0.07,1,0.08,0,0.01
35,Ontario,Ontario,2020-05-07,,19121,0,1477,19121,368400,13569,70.96,25291,399,2.13,131.27,10.14,48,7.72,14683,347,21.31,4075,27.98,6242,42.85,764,5.24,2934,20.14,395,2.71,419,2.88,56,0.39
24,Quebec,Québec,2020-05-07,,35238,0,2631,35238,259794,8673,24.61,30618,911,2.65,415.30,31.01,121,7.47,9140,389,67.92,23934,282.08,13400,157.93,1388,16.36,7700,90.75,772,9.10,1100,12.96,110,1.30
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-05-07,,261,0,3,261,9451,244,93.49,18121,2,0.77,50.04,0.58,0,1.15,156,0,5.36,14,2.68,5,0.96,0,0.00,3,0.58,0,0.00,0,0.08,0,0.00
13,New Brunswick,Nouveau-Brunswick,2020-05-07,,120,0,0,120,15700,118,98.33,20210,0,0.00,15.45,0.00,0,0.00,376,0,1.67,2,0.26,2,0.26,0,0.00,2,0.26,0,0.00,0,0.04,0,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-05-07,,1007,0,44,1007,33541,708,70.31,34529,9,0.90,103.67,4.53,3,4.37,672,47,25.32,255,26.25,180,18.53,28,2.88,60,6.18,16,1.65,9,0.88,2,0.24
11,Prince Edward Island,Île-du-Prince-Édouard,2020-05-07,,27,0,0,27,3550,26,96.30,22619,0,0.00,17.20,0.00,0,0.00,96,0,3.70,1,0.64,1,0.64,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
60,Yukon,Yukon,2020-05-07,,11,0,0,11,1065,11,100.00,26068,0,0.00,26.93,0.00,0,0.00,24,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-05-07,,5,0,0,5,1740,5,100.00,38817,0,0.00,11.15,0.00,0,0.00,17,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
62,Nunavut,Nunavut,2020-05-07,,0,0,0,0,530,0,N/A,13667,0,0.00,0.00,0.00,0,,5,0,,,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-05-07,,13,0,,13,76,,,,0,0.00,,,,,0,,,,,0,,0,,0,,0,,0,,0,
1,Canada,Canada,2020-05-07,,64911,11,4408,64922,1005294,29247,45.05,26744,1426,2.25,172.71,11.73,176,6.79,31660,1076,48.16,31267,83.18,22812,60.69,2262,6.02,11686,31.09,1224,3.26,1669,4.44,175,0.47
59,British Columbia,Colombie-Britannique,2020-05-08,,2315,0,127,2315,89764,1579,68.21,17700,27,1.18,45.65,2.50,1,5.49,1985,67,26.31,609,12.01,462,9.11,29,0.57,170,3.35,15,0.30,24,0.48,2,0.04
48,Alberta,Alberta,2020-05-08,,6098,0,115,6098,166327,4020,65.92,38050,81,1.35,139.50,2.63,1,1.89,2817,211,32.19,1963,44.91,2081,47.61,43,0.98,525,12.01,23,0.53,75,1.72,3,0.08
47,Saskatchewan,Saskatchewan,2020-05-08,,544,0,6,544,32620,335,61.58,27774,13,2.45,46.32,0.51,0,1.10,694,6,37.32,203,17.28,203,17.28,2,0.17,129,10.98,0,0.00,18,1.57,0,0.00
46,Manitoba,Manitoba,2020-05-08,,273,11,7,284,28742,247,86.97,20988,1,0.35,20.74,0.51,0,2.46,510,4,10.56,30,2.19,21,1.53,1,0.07,5,0.37,1,0.07,1,0.05,0,0.01
35,Ontario,Ontario,2020-05-08,,19598,0,1540,19598,384162,13990,71.38,26373,477,2.49,134.54,10.57,63,7.86,15762,421,20.76,4068,27.93,6079,41.73,777,5.33,2990,20.53,419,2.88,427,2.93,60,0.41
24,Quebec,Québec,2020-05-08,,36150,0,2725,36150,266444,8928,24.70,31402,912,2.59,426.05,32.12,94,7.54,6650,255,67.76,24497,288.71,13534,159.51,1385,16.32,7502,88.42,703,8.29,1072,12.63,100,1.18
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-05-08,,261,0,3,261,9571,244,93.49,18351,0,0.00,50.04,0.58,0,1.15,120,0,5.36,14,2.68,5,0.96,0,0.00,2,0.38,0,0.00,0,0.05,0,0.00
13,New Brunswick,Nouveau-Brunswick,2020-05-08,,120,0,0,120,16068,118,98.33,20684,0,0.00,15.45,0.00,0,0.00,368,0,1.67,2,0.26,2,0.26,0,0.00,2,0.26,0,0.00,0,0.04,0,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-05-08,,1008,0,46,1008,34081,722,71.63,35085,1,0.10,103.77,4.74,2,4.56,540,14,23.81,240,24.71,158,16.27,30,3.09,49,5.04,17,1.75,7,0.72,2,0.25
11,Prince Edward Island,Île-du-Prince-Édouard,2020-05-08,,27,0,0,27,3667,27,100.00,23365,0,0.00,17.20,0.00,0,0.00,117,1,0.00,0,0.00,1,0.64,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
60,Yukon,Yukon,2020-05-08,,11,0,0,11,1065,11,100.00,26068,0,0.00,26.93,0.00,0,0.00,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-05-08,,5,0,0,5,1768,5,100.00,39441,0,0.00,11.15,0.00,0,0.00,28,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
62,Nunavut,Nunavut,2020-05-08,,0,0,0,0,550,0,N/A,14183,0,0.00,0.00,0.00,0,,20,0,,,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-05-08,,13,0,,13,76,,,,0,0.00,,,,,0,,,,,0,,0,,0,,0,,0,,0,
1,Canada,Canada,2020-05-08,,66423,11,4569,66434,1034905,30226,45.50,27532,1512,2.33,176.74,12.16,161,6.88,29611,979,47.62,31639,84.17,22546,59.98,2267,6.03,11373,30.26,1178,3.13,1625,4.32,168,0.45
59,British Columbia,Colombie-Britannique,2020-05-09,,2330,0,129,2330,91668,1659,71.20,18076,15,0.65,45.94,2.54,2,5.54,1904,80,23.26,542,10.69,382,7.53,29,0.57,159,3.14,15,0.30,23,0.45,2,0.04
48,Alberta,Alberta,2020-05-09,,6157,0,116,6157,169415,4204,68.28,38756,59,0.97,140.85,2.65,1,1.88,3088,184,29.84,1837,42.02,1924,44.01,43,0.98,487,11.14,22,0.50,70,1.59,3,0.07
47,Saskatchewan,Saskatchewan,2020-05-09,,553,0,6,553,33453,340,61.48,28484,9,1.65,47.09,0.51,0,1.08,833,5,37.43,207,17.63,204,17.37,2,0.17,132,11.24,0,0.00,19,1.61,0,0.00
